iso_alpha_3_code,Country,Region,Income group,Year,MMR,LiveBirths
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2018.5,0.0003012784612641,103765.0
SMR,San Marino,Europe & Central Asia,High income,2023.5,0.0,200.0
SRB,Serbia,Europe & Central Asia,Upper middle income,2023.5,9.0525762222166e-05,59840.0
SSD,South Sudan,Sub-Saharan Africa,Low income,2007.5,0.0075768953556847,354907.0
STP,São Tomé And Príncipe,Sub-Saharan Africa,Lower middle income,2010.962,0.0017863301971782,47437.218
SUR,Suriname,Latin America & Caribbean,Upper middle income,2017.67,0.0010972130787799,10934.81
SVK,Slovak Republic,Europe & Central Asia,High income,2023.5,1.80816835209753e-05,52271.0
SVN,Slovenia,Europe & Central Asia,High income,2020.5,0.0002124625126239,18658.0
SWE,Sweden,Europe & Central Asia,High income,2022.5,4.72101591620624e-05,104855.0
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2006.821429,0.0128381894783113,34994.821483
SYC,Seychelles,Sub-Saharan Africa,High income,2021.5,0.0,1764.0
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2010.5,3.23714893580777e-05,644639.0
TCD,Chad,Sub-Saharan Africa,Low income,2011.769,0.0141783215641835,4359581.498
TGO,Togo,Sub-Saharan Africa,Low income,2010.786,0.004919944600467,1760215.804
THA,Thailand,East Asia & Pacific,Upper middle income,2019.5,0.000236809605863,647680.0
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2017.5,9.56437651092001e-05,269396.0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2015.5,3.31177585536756e-05,170720.0
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2022.4,0.004408610373748,30702.5
TTO,Trinidad And Tobago,Latin America & Caribbean,High income,2023.5,7.79999999999998e-05,16094.0
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2010.5,0.000424562493528,193140.0
TUR,Türkiye,Europe & Central Asia,Upper middle income,2021.5,0.0001256257741908,1142982.0
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2021.5,0.0017655459299363,2262827.0
UGA,Uganda,Sub-Saharan Africa,Low income,2013.459,0.0041122234445315,10042257.487
UKR,Ukraine,Europe & Central Asia,Upper middle income,2019.5,0.0001308755336086,351719.0
URY,Uruguay,Latin America & Caribbean,High income,2022.5,3.1090417406797e-05,33767.0
USA,United States,North America,High income,2022.5,0.0002033401282503,3750379.0
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2019.5,0.0002062945483083,814964.0
VCT,St. Vincent And The Grenadines,Latin America & Caribbean,Upper middle income,2021.5,0.0008928571428571,1300.0
VNM,Vietnam,East Asia & Pacific,Lower middle income,2018.79166666667,0.000455746366832,1492052.3333334
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,2012.0,0.00148,1957219.0
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2022.5,0.001096,1190146.0
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2015.0,0.0028631106458033,4271448.0
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2015.513441,0.0042239733188953,3451047.633198
